5: inc a.*
6: dec c.*
\d: jnz c -2.*

{a=12, b=0, c=0, d=0}
9: jnz d -2   {a=479002732, b=0, c=59, d=68}
10: inc a      {a=479002733, b=0, c=59, d=68}
11: dec d      {a=479002733, b=0, c=59, d=67}
9: jnz d -2   {a=479002733, b=0, c=59, d=67}
10: inc a      {a=479002734, b=0, c=59, d=67}
11: dec d      {a=479002734, b=0, c=59, d=66}
9: jnz d -2   {a=479002734, b=0, c=59, d=66}
10: inc a      {a=479002735, b=0, c=59, d=66}
11: dec d      {a=479002735, b=0, c=59, d=65}
9: jnz d -2   {a=479002735, b=0, c=59, d=65}
10: inc a      {a=479002736, b=0, c=59, d=65}
11: dec d      {a=479002736, b=0, c=59, d=64}
9: jnz d -2   {a=479002736, b=0, c=59, d=64}
10: inc a      {a=479002737, b=0, c=59, d=64}
11: dec d      {a=479002737, b=0, c=59, d=63}
9: jnz d -2   {a=479002737, b=0, c=59, d=63}
10: inc a      {a=479002738, b=0, c=59, d=63}
11: dec d      {a=479002738, b=0, c=59, d=62}
9: jnz d -2   {a=479002738, b=0, c=59, d=62}
10: inc a      {a=479002739, b=0, c=59, d=62}
11: dec d      {a=479002739, b=0, c=59, d=61}
9: jnz d -2   {a=479002739, b=0, c=59, d=61}
10: inc a      {a=479002740, b=0, c=59, d=61}
11: dec d      {a=479002740, b=0, c=59, d=60}
9: jnz d -2   {a=479002740, b=0, c=59, d=60}
10: inc a      {a=479002741, b=0, c=59, d=60}
11: dec d      {a=479002741, b=0, c=59, d=59}
9: jnz d -2   {a=479002741, b=0, c=59, d=59}
10: inc a      {a=479002742, b=0, c=59, d=59}
11: dec d      {a=479002742, b=0, c=59, d=58}
9: jnz d -2   {a=479002742, b=0, c=59, d=58}
10: inc a      {a=479002743, b=0, c=59, d=58}
11: dec d      {a=479002743, b=0, c=59, d=57}
9: jnz d -2   {a=479002743, b=0, c=59, d=57}
10: inc a      {a=479002744, b=0, c=59, d=57}
11: dec d      {a=479002744, b=0, c=59, d=56}
9: jnz d -2   {a=479002744, b=0, c=59, d=56}
10: inc a      {a=479002745, b=0, c=59, d=56}
11: dec d      {a=479002745, b=0, c=59, d=55}
9: jnz d -2   {a=479002745, b=0, c=59, d=55}
10: inc a      {a=479002746, b=0, c=59, d=55}
11: dec d      {a=479002746, b=0, c=59, d=54}
9: jnz d -2   {a=479002746, b=0, c=59, d=54}
10: inc a      {a=479002747, b=0, c=59, d=54}
11: dec d      {a=479002747, b=0, c=59, d=53}
9: jnz d -2   {a=479002747, b=0, c=59, d=53}
10: inc a      {a=479002748, b=0, c=59, d=53}
11: dec d      {a=479002748, b=0, c=59, d=52}
9: jnz d -2   {a=479002748, b=0, c=59, d=52}
10: inc a      {a=479002749, b=0, c=59, d=52}
11: dec d      {a=479002749, b=0, c=59, d=51}
9: jnz d -2   {a=479002749, b=0, c=59, d=51}
10: inc a      {a=479002750, b=0, c=59, d=51}
11: dec d      {a=479002750, b=0, c=59, d=50}
9: jnz d -2   {a=479002750, b=0, c=59, d=50}
10: inc a      {a=479002751, b=0, c=59, d=50}
11: dec d      {a=479002751, b=0, c=59, d=49}
9: jnz d -2   {a=479002751, b=0, c=59, d=49}
10: inc a      {a=479002752, b=0, c=59, d=49}
11: dec d      {a=479002752, b=0, c=59, d=48}
9: jnz d -2   {a=479002752, b=0, c=59, d=48}
10: inc a      {a=479002753, b=0, c=59, d=48}
11: dec d      {a=479002753, b=0, c=59, d=47}
9: jnz d -2   {a=479002753, b=0, c=59, d=47}
10: inc a      {a=479002754, b=0, c=59, d=47}
11: dec d      {a=479002754, b=0, c=59, d=46}
9: jnz d -2   {a=479002754, b=0, c=59, d=46}
10: inc a      {a=479002755, b=0, c=59, d=46}
11: dec d      {a=479002755, b=0, c=59, d=45}
9: jnz d -2   {a=479002755, b=0, c=59, d=45}
10: inc a      {a=479002756, b=0, c=59, d=45}
11: dec d      {a=479002756, b=0, c=59, d=44}
9: jnz d -2   {a=479002756, b=0, c=59, d=44}
10: inc a      {a=479002757, b=0, c=59, d=44}
11: dec d      {a=479002757, b=0, c=59, d=43}
9: jnz d -2   {a=479002757, b=0, c=59, d=43}
10: inc a      {a=479002758, b=0, c=59, d=43}
11: dec d      {a=479002758, b=0, c=59, d=42}
9: jnz d -2   {a=479002758, b=0, c=59, d=42}
10: inc a      {a=479002759, b=0, c=59, d=42}
11: dec d      {a=479002759, b=0, c=59, d=41}
9: jnz d -2   {a=479002759, b=0, c=59, d=41}
10: inc a      {a=479002760, b=0, c=59, d=41}
11: dec d      {a=479002760, b=0, c=59, d=40}
9: jnz d -2   {a=479002760, b=0, c=59, d=40}
10: inc a      {a=479002761, b=0, c=59, d=40}
11: dec d      {a=479002761, b=0, c=59, d=39}
9: jnz d -2   {a=479002761, b=0, c=59, d=39}
10: inc a      {a=479002762, b=0, c=59, d=39}
11: dec d      {a=479002762, b=0, c=59, d=38}
9: jnz d -2   {a=479002762, b=0, c=59, d=38}
10: inc a      {a=479002763, b=0, c=59, d=38}
11: dec d      {a=479002763, b=0, c=59, d=37}
9: jnz d -2   {a=479002763, b=0, c=59, d=37}
10: inc a      {a=479002764, b=0, c=59, d=37}
11: dec d      {a=479002764, b=0, c=59, d=36}
9: jnz d -2   {a=479002764, b=0, c=59, d=36}
10: inc a      {a=479002765, b=0, c=59, d=36}
11: dec d      {a=479002765, b=0, c=59, d=35}
9: jnz d -2   {a=479002765, b=0, c=59, d=35}
10: inc a      {a=479002766, b=0, c=59, d=35}
11: dec d      {a=479002766, b=0, c=59, d=34}
9: jnz d -2   {a=479002766, b=0, c=59, d=34}
10: inc a      {a=479002767, b=0, c=59, d=34}
11: dec d      {a=479002767, b=0, c=59, d=33}
9: jnz d -2   {a=479002767, b=0, c=59, d=33}
10: inc a      {a=479002768, b=0, c=59, d=33}
11: dec d      {a=479002768, b=0, c=59, d=32}
9: jnz d -2   {a=479002768, b=0, c=59, d=32}
10: inc a      {a=479002769, b=0, c=59, d=32}
11: dec d      {a=479002769, b=0, c=59, d=31}
9: jnz d -2   {a=479002769, b=0, c=59, d=31}
10: inc a      {a=479002770, b=0, c=59, d=31}
11: dec d      {a=479002770, b=0, c=59, d=30}
9: jnz d -2   {a=479002770, b=0, c=59, d=30}
10: inc a      {a=479002771, b=0, c=59, d=30}
11: dec d      {a=479002771, b=0, c=59, d=29}
9: jnz d -2   {a=479002771, b=0, c=59, d=29}
10: inc a      {a=479002772, b=0, c=59, d=29}
11: dec d      {a=479002772, b=0, c=59, d=28}
9: jnz d -2   {a=479002772, b=0, c=59, d=28}
10: inc a      {a=479002773, b=0, c=59, d=28}
11: dec d      {a=479002773, b=0, c=59, d=27}
9: jnz d -2   {a=479002773, b=0, c=59, d=27}
10: inc a      {a=479002774, b=0, c=59, d=27}
11: dec d      {a=479002774, b=0, c=59, d=26}
9: jnz d -2   {a=479002774, b=0, c=59, d=26}
10: inc a      {a=479002775, b=0, c=59, d=26}
11: dec d      {a=479002775, b=0, c=59, d=25}
9: jnz d -2   {a=479002775, b=0, c=59, d=25}
10: inc a      {a=479002776, b=0, c=59, d=25}
11: dec d      {a=479002776, b=0, c=59, d=24}
9: jnz d -2   {a=479002776, b=0, c=59, d=24}
10: inc a      {a=479002777, b=0, c=59, d=24}
11: dec d      {a=479002777, b=0, c=59, d=23}
9: jnz d -2   {a=479002777, b=0, c=59, d=23}
10: inc a      {a=479002778, b=0, c=59, d=23}
11: dec d      {a=479002778, b=0, c=59, d=22}
9: jnz d -2   {a=479002778, b=0, c=59, d=22}
10: inc a      {a=479002779, b=0, c=59, d=22}
11: dec d      {a=479002779, b=0, c=59, d=21}
9: jnz d -2   {a=479002779, b=0, c=59, d=21}
10: inc a      {a=479002780, b=0, c=59, d=21}
11: dec d      {a=479002780, b=0, c=59, d=20}
9: jnz d -2   {a=479002780, b=0, c=59, d=20}
10: inc a      {a=479002781, b=0, c=59, d=20}
11: dec d      {a=479002781, b=0, c=59, d=19}
9: jnz d -2   {a=479002781, b=0, c=59, d=19}
10: inc a      {a=479002782, b=0, c=59, d=19}
11: dec d      {a=479002782, b=0, c=59, d=18}
9: jnz d -2   {a=479002782, b=0, c=59, d=18}
10: inc a      {a=479002783, b=0, c=59, d=18}
11: dec d      {a=479002783, b=0, c=59, d=17}
9: jnz d -2   {a=479002783, b=0, c=59, d=17}
10: inc a      {a=479002784, b=0, c=59, d=17}
11: dec d      {a=479002784, b=0, c=59, d=16}
9: jnz d -2   {a=479002784, b=0, c=59, d=16}
10: inc a      {a=479002785, b=0, c=59, d=16}
11: dec d      {a=479002785, b=0, c=59, d=15}
9: jnz d -2   {a=479002785, b=0, c=59, d=15}
10: inc a      {a=479002786, b=0, c=59, d=15}
11: dec d      {a=479002786, b=0, c=59, d=14}
9: jnz d -2   {a=479002786, b=0, c=59, d=14}
10: inc a      {a=479002787, b=0, c=59, d=14}
11: dec d      {a=479002787, b=0, c=59, d=13}
9: jnz d -2   {a=479002787, b=0, c=59, d=13}
10: inc a      {a=479002788, b=0, c=59, d=13}
11: dec d      {a=479002788, b=0, c=59, d=12}
9: jnz d -2   {a=479002788, b=0, c=59, d=12}
10: inc a      {a=479002789, b=0, c=59, d=12}
11: dec d      {a=479002789, b=0, c=59, d=11}
9: jnz d -2   {a=479002789, b=0, c=59, d=11}
10: inc a      {a=479002790, b=0, c=59, d=11}
11: dec d      {a=479002790, b=0, c=59, d=10}
9: jnz d -2   {a=479002790, b=0, c=59, d=10}
10: inc a      {a=479002791, b=0, c=59, d=10}
11: dec d      {a=479002791, b=0, c=59, d=9}
9: jnz d -2   {a=479002791, b=0, c=59, d=9}
10: inc a      {a=479002792, b=0, c=59, d=9}
11: dec d      {a=479002792, b=0, c=59, d=8}
9: jnz d -2   {a=479002792, b=0, c=59, d=8}
10: inc a      {a=479002793, b=0, c=59, d=8}
11: dec d      {a=479002793, b=0, c=59, d=7}
9: jnz d -2   {a=479002793, b=0, c=59, d=7}
10: inc a      {a=479002794, b=0, c=59, d=7}
11: dec d      {a=479002794, b=0, c=59, d=6}
9: jnz d -2   {a=479002794, b=0, c=59, d=6}
10: inc a      {a=479002795, b=0, c=59, d=6}
11: dec d      {a=479002795, b=0, c=59, d=5}
9: jnz d -2   {a=479002795, b=0, c=59, d=5}
10: inc a      {a=479002796, b=0, c=59, d=5}
11: dec d      {a=479002796, b=0, c=59, d=4}
9: jnz d -2   {a=479002796, b=0, c=59, d=4}
10: inc a      {a=479002797, b=0, c=59, d=4}
11: dec d      {a=479002797, b=0, c=59, d=3}
9: jnz d -2   {a=479002797, b=0, c=59, d=3}
10: inc a      {a=479002798, b=0, c=59, d=3}
11: dec d      {a=479002798, b=0, c=59, d=2}
9: jnz d -2   {a=479002798, b=0, c=59, d=2}
10: inc a      {a=479002799, b=0, c=59, d=2}
11: dec d      {a=479002799, b=0, c=59, d=1}
9: jnz d -2   {a=479002799, b=0, c=59, d=1}
10: inc a      {a=479002800, b=0, c=59, d=1}
11: dec d      {a=479002800, b=0, c=59, d=0}
12: jnz d -2   {a=479002800, b=0, c=59, d=0}
13: dec c      {a=479002800, b=0, c=58, d=0}
8: jnz c -5   {a=479002800, b=0, c=58, d=0}
9: cpy 80 d   {a=479002800, b=0, c=58, d=80}
10: inc a      {a=479002801, b=0, c=58, d=80}
11: dec d      {a=479002801, b=0, c=58, d=79}
9: jnz d -2   {a=479002801, b=0, c=58, d=79}
10: inc a      {a=479002802, b=0, c=58, d=79}
11: dec d      {a=479002802, b=0, c=58, d=78}
9: jnz d -2   {a=479002802, b=0, c=58, d=78}
10: inc a      {a=479002803, b=0, c=58, d=78}
11: dec d      {a=479002803, b=0, c=58, d=77}
9: jnz d -2   {a=479002803, b=0, c=58, d=77}
10: inc a      {a=479002804, b=0, c=58, d=77}
11: dec d      {a=479002804, b=0, c=58, d=76}
9: jnz d -2   {a=479002804, b=0, c=58, d=76}
10: inc a      {a=479002805, b=0, c=58, d=76}
11: dec d      {a=479002805, b=0, c=58, d=75}
9: jnz d -2   {a=479002805, b=0, c=58, d=75}
10: inc a      {a=479002806, b=0, c=58, d=75}
11: dec d      {a=479002806, b=0, c=58, d=74}
9: jnz d -2   {a=479002806, b=0, c=58, d=74}
10: inc a      {a=479002807, b=0, c=58, d=74}
11: dec d      {a=479002807, b=0, c=58, d=73}
9: jnz d -2   {a=479002807, b=0, c=58, d=73}
10: inc a      {a=479002808, b=0, c=58, d=73}
11: dec d      {a=479002808, b=0, c=58, d=72}
9: jnz d -2   {a=479002808, b=0, c=58, d=72}
10: inc a      {a=479002809, b=0, c=58, d=72}
11: dec d      {a=479002809, b=0, c=58, d=71}
9: jnz d -2   {a=479002809, b=0, c=58, d=71}
10: inc a      {a=479002810, b=0, c=58, d=71}
11: dec d      {a=479002810, b=0, c=58, d=70}
9: jnz d -2   {a=479002810, b=0, c=58, d=70}
10: inc a      {a=479002811, b=0, c=58, d=70}
11: dec d      {a=479002811, b=0, c=58, d=69}
9: jnz d -2   {a=479002811, b=0, c=58, d=69}
10: inc a      {a=479002812, b=0, c=58, d=69}
11: dec d      {a=479002812, b=0, c=58, d=68}
9: jnz d -2   {a=479002812, b=0, c=58, d=68}
10: inc a      {a=479002813, b=0, c=58, d=68}
11: dec d      {a=479002813, b=0, c=58, d=67}
9: jnz d -2   {a=479002813, b=0, c=58, d=67}
10: inc a      {a=479002814, b=0, c=58, d=67}
11: dec d      {a=479002814, b=0, c=58, d=66}
9: jnz d -2   {a=479002814, b=0, c=58, d=66}
10: inc a      {a=479002815, b=0, c=58, d=66}
11: dec d      {a=479002815, b=0, c=58, d=65}
9: jnz d -2   {a=479002815, b=0, c=58, d=65}
10: inc a      {a=479002816, b=0, c=58, d=65}
11: dec d      {a=479002816, b=0, c=58, d=64}
9: jnz d -2   {a=479002816, b=0, c=58, d=64}
10: inc a      {a=479002817, b=0, c=58, d=64}
11: dec d      {a=479002817, b=0, c=58, d=63}
9: jnz d -2   {a=479002817, b=0, c=58, d=63}
10: inc a      {a=479002818, b=0, c=58, d=63}
11: dec d      {a=479002818, b=0, c=58, d=62}
9: jnz d -2   {a=479002818, b=0, c=58, d=62}
10: inc a      {a=479002819, b=0, c=58, d=62}
11: dec d      {a=479002819, b=0, c=58, d=61}
9: jnz d -2   {a=479002819, b=0, c=58, d=61}
10: inc a      {a=479002820, b=0, c=58, d=61}
11: dec d      {a=479002820, b=0, c=58, d=60}
9: jnz d -2   {a=479002820, b=0, c=58, d=60}
10: inc a      {a=479002821, b=0, c=58, d=60}
11: dec d      {a=479002821, b=0, c=58, d=59}
9: jnz d -2   {a=479002821, b=0, c=58, d=59}
10: inc a      {a=479002822, b=0, c=58, d=59}
11: dec d      {a=479002822, b=0, c=58, d=58}
9: jnz d -2   {a=479002822, b=0, c=58, d=58}
10: inc a      {a=479002823, b=0, c=58, d=58}
11: dec d      {a=479002823, b=0, c=58, d=57}
9: jnz d -2   {a=479002823, b=0, c=58, d=57}
10: inc a      {a=479002824, b=0, c=58, d=57}
11: dec d      {a=479002824, b=0, c=58, d=56}
9: jnz d -2   {a=479002824, b=0, c=58, d=56}
10: inc a      {a=479002825, b=0, c=58, d=56}
11: dec d      {a=479002825, b=0, c=58, d=55}
9: jnz d -2   {a=479002825, b=0, c=58, d=55}
10: inc a      {a=479002826, b=0, c=58, d=55}
11: dec d      {a=479002826, b=0, c=58, d=54}
9: jnz d -2   {a=479002826, b=0, c=58, d=54}
10: inc a      {a=479002827, b=0, c=58, d=54}
11: dec d      {a=479002827, b=0, c=58, d=53}
9: jnz d -2   {a=479002827, b=0, c=58, d=53}
10: inc a      {a=479002828, b=0, c=58, d=53}
11: dec d      {a=479002828, b=0, c=58, d=52}
9: jnz d -2   {a=479002828, b=0, c=58, d=52}
10: inc a      {a=479002829, b=0, c=58, d=52}
11: dec d      {a=479002829, b=0, c=58, d=51}
9: jnz d -2   {a=479002829, b=0, c=58, d=51}
10: inc a      {a=479002830, b=0, c=58, d=51}
11: dec d      {a=479002830, b=0, c=58, d=50}
9: jnz d -2   {a=479002830, b=0, c=58, d=50}
10: inc a      {a=479002831, b=0, c=58, d=50}
11: dec d      {a=479002831, b=0, c=58, d=49}
9: jnz d -2   {a=479002831, b=0, c=58, d=49}
10: inc a      {a=479002832, b=0, c=58, d=49}
11: dec d      {a=479002832, b=0, c=58, d=48}
9: jnz d -2   {a=479002832, b=0, c=58, d=48}
10: inc a      {a=479002833, b=0, c=58, d=48}
11: dec d      {a=479002833, b=0, c=58, d=47}
9: jnz d -2   {a=479002833, b=0, c=58, d=47}
10: inc a      {a=479002834, b=0, c=58, d=47}
11: dec d      {a=479002834, b=0, c=58, d=46}
9: jnz d -2   {a=479002834, b=0, c=58, d=46}
10: inc a      {a=479002835, b=0, c=58, d=46}
11: dec d      {a=479002835, b=0, c=58, d=45}
9: jnz d -2   {a=479002835, b=0, c=58, d=45}
10: inc a      {a=479002836, b=0, c=58, d=45}
11: dec d      {a=479002836, b=0, c=58, d=44}
9: jnz d -2   {a=479002836, b=0, c=58, d=44}
10: inc a      {a=479002837, b=0, c=58, d=44}
11: dec d      {a=479002837, b=0, c=58, d=43}
9: jnz d -2   {a=479002837, b=0, c=58, d=43}
10: inc a      {a=479002838, b=0, c=58, d=43}
11: dec d      {a=479002838, b=0, c=58, d=42}
9: jnz d -2   {a=479002838, b=0, c=58, d=42}
10: inc a      {a=479002839, b=0, c=58, d=42}
11: dec d      {a=479002839, b=0, c=58, d=41}
9: jnz d -2   {a=479002839, b=0, c=58, d=41}
10: inc a      {a=479002840, b=0, c=58, d=41}
11: dec d      {a=479002840, b=0, c=58, d=40}
9: jnz d -2   {a=479002840, b=0, c=58, d=40}
10: inc a      {a=479002841, b=0, c=58, d=40}
11: dec d      {a=479002841, b=0, c=58, d=39}
9: jnz d -2   {a=479002841, b=0, c=58, d=39}
10: inc a      {a=479002842, b=0, c=58, d=39}
11: dec d      {a=479002842, b=0, c=58, d=38}
9: jnz d -2   {a=479002842, b=0, c=58, d=38}
10: inc a      {a=479002843, b=0, c=58, d=38}
11: dec d      {a=479002843, b=0, c=58, d=37}
9: jnz d -2   {a=479002843, b=0, c=58, d=37}
10: inc a      {a=479002844, b=0, c=58, d=37}
11: dec d      {a=479002844, b=0, c=58, d=36}
9: jnz d -2   {a=479002844, b=0, c=58, d=36}
10: inc a      {a=479002845, b=0, c=58, d=36}
11: dec d      {a=479002845, b=0, c=58, d=35}
9: jnz d -2   {a=479002845, b=0, c=58, d=35}
10: inc a      {a=479002846, b=0, c=58, d=35}
11: dec d      {a=479002846, b=0, c=58, d=34}
9: jnz d -2   {a=479002846, b=0, c=58, d=34}
10: inc a      {a=479002847, b=0, c=58, d=34}
11: dec d      {a=479002847, b=0, c=58, d=33}
9: jnz d -2   {a=479002847, b=0, c=58, d=33}
10: inc a      {a=479002848, b=0, c=58, d=33}
11: dec d      {a=479002848, b=0, c=58, d=32}
9: jnz d -2   {a=479002848, b=0, c=58, d=32}
10: inc a      {a=479002849, b=0, c=58, d=32}
11: dec d      {a=479002849, b=0, c=58, d=31}
9: jnz d -2   {a=479002849, b=0, c=58, d=31}
10: inc a      {a=479002850, b=0, c=58, d=31}
11: dec d      {a=479002850, b=0, c=58, d=30}
9: jnz d -2   {a=479002850, b=0, c=58, d=30}
10: inc a      {a=479002851, b=0, c=58, d=30}
11: dec d      {a=479002851, b=0, c=58, d=29}
9: jnz d -2   {a=479002851, b=0, c=58, d=29}
10: inc a      {a=479002852, b=0, c=58, d=29}
11: dec d      {a=479002852, b=0, c=58, d=28}
9: jnz d -2   {a=479002852, b=0, c=58, d=28}
10: inc a      {a=479002853, b=0, c=58, d=28}
11: dec d      {a=479002853, b=0, c=58, d=27}
9: jnz d -2   {a=479002853, b=0, c=58, d=27}
10: inc a      {a=479002854, b=0, c=58, d=27}
11: dec d      {a=479002854, b=0, c=58, d=26}
9: jnz d -2   {a=479002854, b=0, c=58, d=26}
10: inc a      {a=479002855, b=0, c=58, d=26}
11: dec d      {a=479002855, b=0, c=58, d=25}
9: jnz d -2   {a=479002855, b=0, c=58, d=25}
10: inc a      {a=479002856, b=0, c=58, d=25}
11: dec d      {a=479002856, b=0, c=58, d=24}
9: jnz d -2   {a=479002856, b=0, c=58, d=24}
10: inc a      {a=479002857, b=0, c=58, d=24}
11: dec d      {a=479002857, b=0, c=58, d=23}
9: jnz d -2   {a=479002857, b=0, c=58, d=23}
10: inc a      {a=479002858, b=0, c=58, d=23}
11: dec d      {a=479002858, b=0, c=58, d=22}
9: jnz d -2   {a=479002858, b=0, c=58, d=22}
10: inc a      {a=479002859, b=0, c=58, d=22}
11: dec d      {a=479002859, b=0, c=58, d=21}
9: jnz d -2   {a=479002859, b=0, c=58, d=21}
10: inc a      {a=479002860, b=0, c=58, d=21}
11: dec d      {a=479002860, b=0, c=58, d=20}
9: jnz d -2   {a=479002860, b=0, c=58, d=20}
10: inc a      {a=479002861, b=0, c=58, d=20}
11: dec d      {a=479002861, b=0, c=58, d=19}
9: jnz d -2   {a=479002861, b=0, c=58, d=19}
10: inc a      {a=479002862, b=0, c=58, d=19}
11: dec d      {a=479002862, b=0, c=58, d=18}
9: jnz d -2   {a=479002862, b=0, c=58, d=18}
10: inc a      {a=479002863, b=0, c=58, d=18}
11: dec d      {a=479002863, b=0, c=58, d=17}
9: jnz d -2   {a=479002863, b=0, c=58, d=17}
10: inc a      {a=479002864, b=0, c=58, d=17}
11: dec d      {a=479002864, b=0, c=58, d=16}
9: jnz d -2   {a=479002864, b=0, c=58, d=16}
10: inc a      {a=479002865, b=0, c=58, d=16}
11: dec d      {a=479002865, b=0, c=58, d=15}
9: jnz d -2   {a=479002865, b=0, c=58, d=15}
10: inc a      {a=479002866, b=0, c=58, d=15}
11: dec d      {a=479002866, b=0, c=58, d=14}
9: jnz d -2   {a=479002866, b=0, c=58, d=14}
10: inc a      {a=479002867, b=0, c=58, d=14}
11: dec d      {a=479002867, b=0, c=58, d=13}
9: jnz d -2   {a=479002867, b=0, c=58, d=13}
10: inc a      {a=479002868, b=0, c=58, d=13}
11: dec d      {a=479002868, b=0, c=58, d=12}
9: jnz d -2   {a=479002868, b=0, c=58, d=12}
10: inc a      {a=479002869, b=0, c=58, d=12}
11: dec d      {a=479002869, b=0, c=58, d=11}
9: jnz d -2   {a=479002869, b=0, c=58, d=11}
10: inc a      {a=479002870, b=0, c=58, d=11}
11: dec d      {a=479002870, b=0, c=58, d=10}
9: jnz d -2   {a=479002870, b=0, c=58, d=10}
10: inc a      {a=479002871, b=0, c=58, d=10}
11: dec d      {a=479002871, b=0, c=58, d=9}
9: jnz d -2   {a=479002871, b=0, c=58, d=9}
10: inc a      {a=479002872, b=0, c=58, d=9}
11: dec d      {a=479002872, b=0, c=58, d=8}
9: jnz d -2   {a=479002872, b=0, c=58, d=8}
10: inc a      {a=479002873, b=0, c=58, d=8}
11: dec d      {a=479002873, b=0, c=58, d=7}
9: jnz d -2   {a=479002873, b=0, c=58, d=7}
10: inc a      {a=479002874, b=0, c=58, d=7}
11: dec d      {a=479002874, b=0, c=58, d=6}
9: jnz d -2   {a=479002874, b=0, c=58, d=6}
10: inc a      {a=479002875, b=0, c=58, d=6}
11: dec d      {a=479002875, b=0, c=58, d=5}
9: jnz d -2   {a=479002875, b=0, c=58, d=5}
10: inc a      {a=479002876, b=0, c=58, d=5}
11: dec d      {a=479002876, b=0, c=58, d=4}
9: jnz d -2   {a=479002876, b=0, c=58, d=4}
10: inc a      {a=479002877, b=0, c=58, d=4}
11: dec d      {a=479002877, b=0, c=58, d=3}
9: jnz d -2   {a=479002877, b=0, c=58, d=3}
10: inc a      {a=479002878, b=0, c=58, d=3}
11: dec d      {a=479002878, b=0, c=58, d=2}
9: jnz d -2   {a=479002878, b=0, c=58, d=2}
10: inc a      {a=479002879, b=0, c=58, d=2}
11: dec d      {a=479002879, b=0, c=58, d=1}
9: jnz d -2   {a=479002879, b=0, c=58, d=1}
10: inc a      {a=479002880, b=0, c=58, d=1}
11: dec d      {a=479002880, b=0, c=58, d=0}
12: jnz d -2   {a=479002880, b=0, c=58, d=0}
13: dec c      {a=479002880, b=0, c=57, d=0}
8: jnz c -5   {a=479002880, b=0, c=57, d=0}
9: cpy 80 d   {a=479002880, b=0, c=57, d=80}
10: inc a      {a=479002881, b=0, c=57, d=80}
11: dec d      {a=479002881, b=0, c=57, d=79}
9: jnz d -2   {a=479002881, b=0, c=57, d=79}
10: inc a      {a=479002882, b=0, c=57, d=79}
11: dec d      {a=479002882, b=0, c=57, d=78}
9: jnz d -2   {a=479002882, b=0, c=57, d=78}
10: inc a      {a=479002883, b=0, c=57, d=78}
11: dec d      {a=479002883, b=0, c=57, d=77}
9: jnz d -2   {a=479002883, b=0, c=57, d=77}
10: inc a      {a=479002884, b=0, c=57, d=77}
11: dec d      {a=479002884, b=0, c=57, d=76}
9: jnz d -2   {a=479002884, b=0, c=57, d=76}
10: inc a      {a=479002885, b=0, c=57, d=76}
11: dec d      {a=479002885, b=0, c=57, d=75}
9: jnz d -2   {a=479002885, b=0, c=57, d=75}
10: inc a      {a=479002886, b=0, c=57, d=75}
11: dec d      {a=479002886, b=0, c=57, d=74}
9: jnz d -2   {a=479002886, b=0, c=57, d=74}
10: inc a      {a=479002887, b=0, c=57, d=74}
11: dec d      {a=479002887, b=0, c=57, d=73}
9: jnz d -2   {a=479002887, b=0, c=57, d=73}
10: inc a      {a=479002888, b=0, c=57, d=73}
11: dec d      {a=479002888, b=0, c=57, d=72}
9: jnz d -2   {a=479002888, b=0, c=57, d=72}
10: inc a      {a=479002889, b=0, c=57, d=72}
11: dec d      {a=479002889, b=0, c=57, d=71}
9: jnz d -2   {a=479002889, b=0, c=57, d=71}
10: inc a      {a=479002890, b=0, c=57, d=71}
11: dec d      {a=479002890, b=0, c=57, d=70}
9: jnz d -2   {a=479002890, b=0, c=57, d=70}
10: inc a      {a=479002891, b=0, c=57, d=70}
11: dec d      {a=479002891, b=0, c=57, d=69}
9: jnz d -2   {a=479002891, b=0, c=57, d=69}
10: inc a      {a=479002892, b=0, c=57, d=69}
11: dec d      {a=479002892, b=0, c=57, d=68}
9: jnz d -2   {a=479002892, b=0, c=57, d=68}
10: inc a      {a=479002893, b=0, c=57, d=68}
11: dec d      {a=479002893, b=0, c=57, d=67}
9: jnz d -2   {a=479002893, b=0, c=57, d=67}
10: inc a      {a=479002894, b=0, c=57, d=67}
11: dec d      {a=479002894, b=0, c=57, d=66}
9: jnz d -2   {a=479002894, b=0, c=57, d=66}
10: inc a      {a=479002895, b=0, c=57, d=66}
11: dec d      {a=479002895, b=0, c=57, d=65}
9: jnz d -2   {a=479002895, b=0, c=57, d=65}
10: inc a      {a=479002896, b=0, c=57, d=65}
11: dec d      {a=479002896, b=0, c=57, d=64}
9: jnz d -2   {a=479002896, b=0, c=57, d=64}
10: inc a      {a=479002897, b=0, c=57, d=64}
11: dec d      {a=479002897, b=0, c=57, d=63}
9: jnz d -2   {a=479002897, b=0, c=57, d=63}
10: inc a      {a=479002898, b=0, c=57, d=63}
11: dec d      {a=479002898, b=0, c=57, d=62}
9: jnz d -2   {a=479002898, b=0, c=57, d=62}
10: inc a      {a=479002899, b=0, c=57, d=62}
11: dec d      {a=479002899, b=0, c=57, d=61}
9: jnz d -2   {a=479002899, b=0, c=57, d=61}
10: inc a      {a=479002900, b=0, c=57, d=61}
11: dec d      {a=479002900, b=0, c=57, d=60}
9: jnz d -2   {a=479002900, b=0, c=57, d=60}
10: inc a      {a=479002901, b=0, c=57, d=60}
11: dec d      {a=479002901, b=0, c=57, d=59}
9: jnz d -2   {a=479002901, b=0, c=57, d=59}
10: inc a      {a=479002902, b=0, c=57, d=59}
11: dec d      {a=479002902, b=0, c=57, d=58}
